slug	date	updatedAt	product_cards	rakuten_afl	rakuten_raw	amazon_asin	amazon_url	amazon_short	a8mat	monetized_total	status	notes
camp-burner-beginner	2026-04-08	2026-06-29	5	5	0	0	5	5	0	10	ok	
camp-chair-highback	2026-06-02	2026-06-29	5	10	0	0	5	5	0	15	ok	
camp-chair-lightweight	2024-06-05	2026-06-29	5	5	0	0	5	5	0	10	ok	
camp-coffee-dripper	2026-07-29	2026-07-29	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#2,#4,#5)
camp-cooker-beginner	2024-06-10	2026-06-29	5	5	0	0	5	5	0	10	ok	
camp-cooler-box-beginner	2026-04-22	2026-06-29	5	5	0	0	5	5	0	10	ok	
camp-cooler-box-overall	2026-04-27	2026-09-21	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#5)
camp-cooler-soft	2026-06-02	2026-06-02	5	10	0	2	0	0	0	12	ok	Amazon未設定カード 3/5 (#2,#4,#5)
camp-cutlery	2026-08-14	2026-08-14	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#2,#4)
camp-dust-stand	2026-08-20	2026-08-20	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#3,#4,#5)
camp-electric-grill	2026-09-17	2026-09-17	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#2) ｜2026-09-21 backfill(campkit-20260921-17): #2 アイリス PIHA-A20B は no-amazon: 楽天SKU 3件=ネット限定2枚 PIHA-A20B ¥7,980(既定・カード価格一致)/ネット限定3枚 PIHA-A30B ¥9,980/通常3枚 APA-139-B ¥15,800。Amazon検索「PIHA-A20B」→ B0H2YRT3QR(アイリスプラザ 網焼き風ホットプレート 2枚プレート PIHA-A20B・親B0H6HZ3MGP)を確認したが購入ボックス無し(カート不可・「すべての出品を見る」のみ)。3枚版 PIHA-A30B=B0H2YVFRXC ¥9,990 在庫ありだが別型番、通常モデル IHA-A20-B=B0C6LY26BH も別型番のため不採用。再入荷したら B0H2YRT3QR を再検討
camp-electric-heater	2026-09-02	2026-09-21	5	10	0	3	0	0	0	13	ok	Amazon未設定カード 2/5 (#4,#5) ｜2026-09-21 backfill(campkit-20260921-17): #3=B07X1JMFMJ(山善 あしもとあったかストーブ DS-F041(W)・楽天SKU属性 ブランド名=山善/メーカー型番=DS-F041(W) 400W 高さ19.5cm ¥4,280 ↔ Amazon dp メーカー型番「DS-F041(W)」文字列一致・変種「ホワイト/足元」・1.1kg・販売元Amazon.co.jp・¥3,780・在庫あり・★4.3(691)。楽天本文「2026年4月より型番変更・仕様変更なし」の注記あり。DS-F045(W)=B0G6YMSG65 は2025年モデルの別型番で不採用)
camp-fan-summer	2026-06-02	2026-06-29	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#3,#4,#5)
camp-furusato	2026-08-12	2026-08-12	0	1	0	0	0	0	0	1	ok	
camp-gear-initial-cost	2026-09-01	2026-09-01	0	0	0	0	0	0	1	1	ok	
camp-gear-rental	2026-07-29	2026-07-29	0	0	0	0	0	0	1	1	ok	
camp-gear-sale-timing	2026-08-20	2026-08-20	0	0	0	0	0	0	1	1	ok	
camp-gear-where-to-buy	2026-08-17	2026-08-17	0	0	0	0	0	0	1	1	ok	
camp-gift	2026-09-08	2026-09-08	7	7	0	5	1	1	0	13	ok	Amazon未設定カード 1/7 (#4)
camp-grill-plate	2026-05-26	2026-05-26	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#1)
camp-hammock	2026-06-02	2026-06-02	5	10	0	3	0	0	0	13	ok	Amazon未設定カード 2/5 (#1,#4)
camp-headlight-beginner	2026-04-26	2026-06-29	5	5	0	1	2	2	0	8	ok	Amazon未設定カード 2/5 (#2,#4)
camp-hot-carpet	2026-08-31	2026-08-31	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#2,#4) ｜2026-09-21 backfill(campkit-20260921-16): #2 山善 YZD-101FL は no-amazon: 楽天既定SKU=1畳/ライトブラウン メーカー型番YZD-101FL(LBR) 170×85cm ¥12,800(2026年8月にYZC-109FL→YZD-101FLへ型番変更・サイズ176×88→170×85に変更と楽天本文に明記)。Amazon検索「山善 ホットカーペット YZD-101FL」「YZD-101FL」「YZD-101FL OR YZD-151FL OR YZD-201FL 山善」は該当なし、「山善 ホットカーペット フローリング調 1畳 YZC-109FL」で出るのは旧型 B0DDKWVYLG(YZC-109FL(LBR) 176×88cm・現在お取り扱いできません)の変種11件のみ→別モデルかつ在庫なしで不採用。SUC-102系(B0G6YLT7P5)はフローリング調でない別シリーズ ｜2026-09-21 backfill(campkit-20260921-17): #4 日立 HHLU-S2020 は no-amazon: 楽天本文スペック表 型番=HHLU-S2020・JAN 4526044016167・176×176cm ¥14,980(SKU属性のメーカー型番は「-」)。Amazon検索「日立 ホットカーペット HHLU-S2020」「HHLU-S2020」「日立 電気カーペット HHLU」「HITACHI ホットカーペット 2畳 176×176」→ 日立製ホットカーペットは1件もヒットせず(出るのはライフジョイ/パナソニック/山善/広電等)。Amazon 出品なしと判断
camp-kettle-recommend	2026-06-02	2026-06-02	5	10	0	5	0	0	0	15	ok	
camp-knife-beginner	2026-04-20		5	5	0	0	5	5	0	10	ok	
camp-lantern-led	2024-06-15	2026-09-21	5	5	0	0	5	5	0	10	ok	
camp-lighting-guide	2026-04-23	2026-06-29	5	5	0	1	3	3	0	9	ok	Amazon未設定カード 1/5 (#5)
camp-nata	2026-08-18	2026-08-18	5	5	0	5	0	0	0	10	ok	
camp-oil-stove	2026-08-03	2026-08-03	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#4,#5) ｜2026-09-21 backfill(campkit-20260921-17): #4 コロナ SZ-F32A(CF) は no-amazon: カードの楽天URL corona-official/0134509000 はHTTP404(桁落ち・正しくは 01345090000=SZ-F32A(CF) ¥34,800 SKU1件・型式「【2024年モデル】SZ-F32A(CF)」)→article-fix-backlog に pending 追加。Amazon検索「SZ-F32A コロナ」「CORONA SZ-F32A」「コロナ 石油ストーブ 対流形 SZ-F32A(CF)」→ 該当なし。出るのはキャプテンスタッグ×コロナ コラボ SZ-32CS(B0CJ4L42CK/B0FXWBGY2B・別型番)と SL-66D2/SL-5125 のみ。コロナストア限定モデルのため Amazon 出品なしと判断
camp-pillow	2026-06-02	2026-06-29	5	10	0	2	0	0	0	12	ok	Amazon未設定カード 3/5 (#1,#4,#5)
camp-portable-power-beginner	2026-04-23	2026-09-21	5	5	0	5	0	0	0	10	ok	
camp-rainwear	2026-06-01	2026-09-21	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#5) ｜2026-09-21 backfill(campkit-20260921-15): #1=B08VNM2FVQ(namelessage NASR-100 上下セット・楽天SKU属性 ブランド=ネームレスエイジ/型番NASR-100 ↔ Amazonタイトル「NASR-100」一致・販売元OC(=OC STYLE)。楽天既定SKU=上下セット(ポケット無PT)/XS/[01]テラコッタ ¥8,980だがAmazon変種にXSが無くテラコッタ/XL ¥8,990を採用。※カード価格3500は現行楽天価格8,980(単品でも3,990〜)と乖離→price_unconfirmed候補)。#3=B09FXG2ZQ6(DOQMENT/カジメイク 4WAYストレッチシールドEX・楽天SKU型番7572 ↔ Amazonメーカー型番7572 一致・色サイズ18変種も一致・既定SKU ベージュ/S を採用・販売元Amazon.co.jp ¥4,442)。#4=B08ZS99S9Q(Makku アジャストマックライト AS-7100・楽天SKU型番AS-7100 ↔ Amazon製造元リファレンスAS7100/メーカー型番AS7100BLM 一致・耐水圧10000/透湿5000も一致。販売元ハンドルキング(アレグレット)¥5,480で楽天¥3,490より高い。楽天既定SKU=AS-7100/ブルー/S だがAmazon変種にブルー/Sが無くブルー/Mを採用。Makku公式出品B0C32HTGCZ系は130/140のキッズ用で不採用)。#5 MAKKU レイントラック AS-900/AS-950 は no-amazon: 楽天は「ジャケットAS-900＋パンツAS-950の上下セット¥5,050(単一SKU rain300・色サイズは項目選択)」だがAmazonはジャケット単体(B003XNMWXY系・型番AS-900-LL ¥2,962)とパンツ単体(B00GRT4CQQ系 AS-950)のみでセット出品なし(構成違い)
camp-rainy-day-plan	2026-09-02	2026-09-02	0	0	0	0	0	0	1	1	ok	
camp-rental-flow	2026-08-27	2026-08-27	0	0	0	0	0	0	1	1	ok	
camp-rental-hygiene	2026-09-09	2026-09-09	0	0	0	0	0	0	1	1	ok	
camp-rental-price	2026-08-18	2026-08-18	0	0	0	0	0	0	1	1	ok	
camp-rental-trouble	2026-08-24	2026-08-24	0	0	0	0	0	0	1	1	ok	
camp-rice-cooker	2026-09-17	2026-09-17	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#4)
camp-skillet	2026-06-08	2026-09-02	5	10	0	5	0	0	0	15	ok	
camp-sleeping-mat	2026-03-25	2026-06-29	5	5	0	0	4	4	0	9	ok	Amazon未設定カード 1/5 (#5)
camp-smoker	2026-08-14	2026-08-14	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#5)
camp-table-folding	2024-06-20	2026-09-21	5	5	0	1	3	3	0	9	ok	Amazon未設定カード 1/5 (#2)
camp-table-set	2026-06-02	2026-09-04	5	5	0	0	5	5	0	10	ok	
camp-tarp-beginner	2026-04-24	2026-06-29	5	5	0	0	5	5	0	10	ok	
camp-windscreen	2026-08-10	2026-08-10	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#3,#4,#5) ｜2026-09-21 backfill(campkit-20260921-16): #4 OneTigris TC陣幕 は no-amazon(在庫切れ): 楽天SKU属性 ブランド=OneTigris Camping/メーカー型番 CE-QZM01-CB(ブラウン)・CE-QZM01-RG(アーミーグリーン) 218×130×85cm 1.9kg ¥8,390。Amazon検索「OneTigris 陣幕 TC ポリコットン」「OneTigris CE-QZM01」で同一品 B0BN3CCYJ8→子B0BWDLF3F3(メーカー型番CE-QZM01-CB ブラウン・388×218×130cm・1.87kg・★4.4(265))を確認したが「現在在庫切れ・再入荷予定なし」、アーミーグリーン(CE-QZM01-RG)の出品は検索「OneTigris 焚き火陣幕 アーミーグリーン 218」「"CE-QZM01-RG"」とも該当なし→§3-8により不採用。再入荷したら B0BWDLF3F3 を再検討
captain-stag-bonfire	2026-08-24	2026-08-24	5	5	0	5	0	0	0	10	ok	
captain-stag-chair	2026-06-15	2026-06-15	5	10	0	5	5	5	0	20	ok	
captain-stag-table	2026-06-08	2026-06-08	5	10	0	5	0	0	0	15	ok	
car-camp-bed-kit	2026-04-29	2026-09-21	3	3	0	1	0	0	0	4	ok	Amazon未設定カード 2/3 (#2,#3)
car-camp-lighting	2026-05-26	2026-09-21	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#3,#5)
car-camp-mat	2026-09-09	2026-09-21	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#4,#5)
car-shade	2026-08-14	2026-08-14	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#2,#4)
car-side-tarp	2026-06-02	2026-06-29	5	10	0	5	0	0	0	15	ok	
cassette-gas-heater	2026-08-10	2026-08-10	5	5	0	5	0	0	0	10	ok	
chair-table-furusato	2026-08-03	2026-08-03	0	1	0	0	0	0	0	1	ok	
charcoal-starter	2026-08-06	2026-09-21	5	5	0	5	0	0	0	10	ok	
closed-cell-mat	2026-09-04	2026-09-21	5	5	0	5	0	0	0	10	ok	Amazon未設定カード 0/5 ｜2026-09-21 backfill(campkit-20260921-14): #5=B07YBY4GKZ(Soomloom IXPEアルミマット ブルー 183×55×1.8cm・410g・楽天SKU outdoor-028-a0102 シングル/ブルー 55×183cm・18mm・410gと一致。楽天型番は「-」のためブランド＋寸法＋重量＋色で照合)
co-checker	2026-08-10	2026-08-10	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#2,#3,#4)
coleman-bonfire	2026-06-15	2026-06-15	4	8	0	2	0	0	0	10	ok	Amazon未設定カード 2/4 (#3,#4) ｜2026-09-21 backfill(campkit-20260921-17): #4 ファイアーディスク+テーブル セットは no-amazon: 楽天SKU属性 メーカー型番=2000031235+VP160401J01(himaraya のセット品 ¥14,077)。Amazon検索「コールマン ファイアーディスク マルチファイアプレイステーブル セット」「コールマン 焚き火台 セット 2000031235」→ ファイアーディスク単品 B01LT5ES1Q(メーカー型番2000031235・変種 40cm/ソロ30cm)のみで構成違い
coleman-chair	2026-06-15	2026-09-20	5	10	0	3	0	0	0	13	ok	Amazon未設定カード 2/5 (#2,#4)
coleman-lantern	2026-06-15	2026-06-15	5	10	0	4	5	5	0	19	ok	
coleman-sleeping-bag	2026-08-18	2026-09-16	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#4,#5)
coleman-tent	2026-06-08	2026-09-21	4	8	0	4	4	4	0	16	ok	
coleman-two-burner	2026-06-01	2026-06-01	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#2,#4) ｜2026-09-21 backfill(campkit-20260921-17): #1・#2 とも no-amazon(構成違い): #1 楽天SKU属性 メーカー型番=2000006707+2000031294+5103A470T(ツーバーナー+キッチンテーブル+LPガス470T×2・現在¥27,307)、#2 =2000006707 + 5103A470TJAN(ツーバーナー+LPガス470T×2・現在¥15,038)。Amazon検索「コールマン パワーハウス LPツーバーナーストーブ2 2000006707」「コールマン パワーハウスLPツーバーナーストーブ2 ガス燃料×2個 セット」「コールマン 2000006707 5103A470T」→ ツーバーナー単品 B004IWR3Z6(メーカー型番2000006707・LPガス別売り・変種なし・¥12,872)、キッチンテーブル単品 B01N9SLIIE(2000031294)、470Tガスの6本/8本/12本セット(B00I78H1UE 等)のみ。バーナー+ガスのセット出品なし
compact-portable-power	2026-07-28	2026-09-21	5	5	0	5	0	0	0	10	ok	Amazon未設定カード 0/5 ｜2026-09-21 backfill(campkit-20260921-18): #3=B09XWNYZFG(BLUETTI EB3A 268Wh 単体・楽天 bluettijapan SKU3件=EB3A/パネルなし ¥32,900（カード価格と一致・既定）/EB3A+130Wパネル ¥70,100/EB3A+100Wパネル ¥67,400、attributes ブランド名=BLUETTI/メーカー型番=EB3A ↔ Amazon dp メーカー型番「EB3A」文字列一致・変種「グレー」（親B0H94XZ6ZH・もう1変種は「グレー+100Wソーラーパネル」=B0GCRWRKBG ¥67,400）・出荷元Amazon/販売元BLUETTI・¥22,980・在庫あり・★4.1(754)。⚠ カードnameとdescription/badgeは「130Wソーラーパネルセット」表記だが、実リンク先の価格一致SKUはEB3A単体のため運用ルール「実リンク先を正」で単体ASINを設置。Amazonに130Wセットの変種は無い。カード文言の不整合は article-fix-backlog に積んだ)
cookware-furusato	2026-08-26	2026-08-26	0	1	0	0	0	0	0	1	ok	
cooler-box-day-camp	2026-05-26	2026-05-26	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#4)
cooler-furusato	2026-07-31	2026-07-31	0	1	0	0	0	0	0	1	ok	
cooler-ice-pack	2026-07-27	2026-09-21	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#2,#4,#5)
cooler-stand	2026-09-11	2026-09-11	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#5)
day-camp-cooler-box	2026-04-25	2026-04-25	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#2,#3)
day-camp-grill	2026-04-27	2026-04-27	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#2,#3,#4)
day-camp-led-lantern	2026-04-27	2026-04-27	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#3,#4,#5)
day-camp-starter-set	2026-04-27	2026-04-27	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#1,#2)
day-camp-tarp-cheap	2026-04-27	2026-09-21	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#3,#4) ｜2026-09-21 backfill(campkit-20260921-16): #5=B0CZKVNCPD(Bears Rock しろくまスクエアタープ SQT-401 カーキ・楽天SKU属性 ブランド=Bears Rock/メーカー型番SQT-401 ↔ Amazonメーカー型番「SQT-401」一致・展開300×300×210/収納58×12/耐水圧2000mmも一致・楽天既定SKU カーキ(セレクタ先頭)と同色の子ASINを採用(タン=B0CZKYZJTR)・販売元ホーマックス(メーカー正規販売店)・¥7,150(楽天¥6,600より高い)・残り10点・★3.8(3))
day-camp-tent	2026-05-26	2026-09-21	4	4	0	2	0	0	0	6	ok	Amazon未設定カード 2/4 (#1,#3) ｜2026-09-21 backfill(campkit-20260921-15): #2=B0GBVXC628(QUICKCAMP コンパクトシェード QC-CS180・楽天SKU属性 ブランド=クイックキャンプ/型番QC-CS180 ↔ Amazon本文「メーカー品番：QC-CS180」一致・展開180×150×130/収納60×15×15/3.3kg/耐水圧3000mmも一致・販売元YOCABITO同一・既定SKU サンドベージュ/PUコーティング ¥6,990(カード価格と同額)を採用。※カードname/description/badgeは「遮光100% ブラックコーティング」を謳うが、それは同ページ別SKU グレー/ブラックコーティング ¥8,990(Amazon B0GBWCXMPM)の仕様で、price 6990 はPU版の価格→表記と価格が別SKUを指す不整合・別タスク)。#1 Noone ワンタッチテント200×320 は no-amazon: 楽天SKU属性 ブランド=-/型番TNT-200(店舗コード)の無名OEM、Amazon検索「ワンタッチテント TNT-200 200×320 フルクローズ」は禄越/ENDLESS BASE等の別OEMのみ。#3 and wander×エアバギー ポップアップテント は no-amazon: 楽天ページ dogcart/000000004987405 がHTTP404で仕様確認不可(discontinued_404候補)、Amazon検索「and wander ポップアップテント エアバギー」はCROWN SHADES/EchoSmile等の無関係商品のみで出品なし
deuter-backpack	2026-06-15	2026-09-21	5	10	0	1	0	0	0	11	ok	Amazon未設定カード 4/5 (#1,#2,#3,#5)
disaster-camp-gear	2026-08-25	2026-08-25	0	0	0	0	0	0	1	1	ok	
disaster-portable-power	2026-08-19	2026-09-21	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#2,#4)
disaster-radio	2026-08-28	2026-09-21	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#1) ｜2026-09-21 backfill(campkit-20260921-18): #4=B0CRF2974M(Greeshow 防災ラジオ XLN-383 グレー・楽天 keynice(Greeshow公式) SKU3件=グレー XLN-383-GY ¥3,980/ブラック XLN-383-BK ¥3,980/オレンジ XLN-383-OR ¥4,480、カードimage(imgrc0099743361)=グレーSKUの画像で色を特定 ↔ Amazon dp メーカー型番「XLN-383」・変種「グレー」（親B0D9N44RY6: グレー=B0CRF2974M/ブラック=B0DQ47FS3Y/ホワイト=B0H2YVV149）・出荷元Amazon/販売元MERYSTAR(Greeshowの運営元)・¥3,231・在庫あり・★4.0(474)。楽天側は型番に色記号-GYが付き、Amazon側は型番XLN-383+変種グレーの表記差のみ)
dod-chair	2026-06-08	2026-06-08	2	4	0	2	2	2	0	8	ok	
dod-table	2026-06-15	2026-09-21	4	8	0	2	0	0	0	10	ok	Amazon未設定カード 2/4 (#2,#4)
dod-tarp	2026-06-08	2026-06-08	4	7	0	4	4	4	0	15	ok	
dod-tent	2026-06-02	2026-09-21	5	10	0	4	0	0	0	14	ok	Amazon未設定カード 1/5 (#1)
duo-tent	2026-08-11	2026-09-11	5	5	0	5	0	0	0	10	ok	
dutch-oven	2026-06-08	2026-06-23	5	10	0	0	5	5	0	15	ok	
ecoflow-power	2026-06-08	2026-09-21	5	10	0	5	5	5	0	20	ok	
electric-blanket-camp	2026-06-08	2026-09-21	5	10	0	2	0	0	0	12	ok	Amazon未設定カード 3/5 (#1,#3,#4)
family-camp-bbq	2026-05-26	2026-09-21	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#3,#4,#5)
family-camp-chair	2026-04-28	2026-09-21	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#3,#5) ｜2026-09-21 backfill(campkit-20260921-16): #2=B0FZS14VJ7(BUNDOK ラウンジチェア BD-187WG ウォームグレー・楽天URLは livinglinks/bd-183nv だが実ページの商品番号はBD-187、SKU属性 メーカー型番=BD-187BLK/BD-187OL/BD-187WG ¥1,980→カードname「BD-187」と実リンク先は一致しており name不整合ではない(URLスラッグ bd-183nv は旧管理番号の名残と判断)・Amazonメーカー型番「BD-187WG」一致・50×70×78cm/2.3kg一致・楽天既定SKU ウォームグレー(セレクタ先頭)と同色・販売元リビングリンクス=楽天と同一店・¥1,980同額・通常2〜3日以内に発送・★4.1(1,294)。他色: ブラック=B0FZS2B1XN／オリーブ=B0FZS3KVLB)
family-camp-cot	2026-06-08	2026-06-08	5	10	0	2	0	0	0	12	ok	Amazon未設定カード 3/5 (#2,#3,#5)
family-camp-lantern	2026-04-24	2026-04-24	5	5	0	5	0	0	0	10	ok	
family-camp-mat	2026-05-26	2026-05-26	5	5	0	0	5	5	0	10	ok	
family-camp-summer-tent	2026-04-23	2026-09-20	5	5	0	0	3	3	0	8	ok	Amazon未設定カード 2/5 (#3,#4)
family-camp-tent	2026-04-28	2026-04-28	5	5	0	3	0	0	0	8	ok	Amazon未設定カード 2/5 (#2,#4) ｜2026-09-21 backfill(campkit-20260921-18): #2 no-amazon(RATELWORKS BODEN RWS0111・楽天SKU5件=BF/GR/CB ¥129,800、G2 NL ¥148,000、G2 BF ¥138,000、メーカー型番=RWS0111xx。Amazon検索「RATELWORKS BODEN 2ルームテント RWS0111」「ラーテルワークス BODEN」「RATELWORKS テント」「RWS0111」「BODEN ボーデン 2ルームテント ラーテルワークス」「RATEL WORKS BODEN テント」「RATELWORKS」「ラーテルワークス ボーデン テント」「RATELWORKS 2ルームテント」→ RATELWORKS公式出品は WAL LIGHT BF(B0H6NWYKF2)/VOGEL(B0H4ZBHNXH)/ヴァルテント2(B09NC9FJFJ)/テーブル・小物のみで BODEN は無し。nobrandのBODEN MID用グランドシート(B0DMLQ8KDQ)が出るだけ)
family-gear-rental	2026-08-05	2026-08-05	0	0	0	0	0	0	1	1	ok	
family-summer-large-tent	2026-04-25	2026-04-25	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#1,#3,#4)
field-rack	2026-08-05	2026-08-05	5	5	0	2	0	0	0	7	ok	Amazon未設定カード 3/5 (#2,#4,#5)
fieldoor-tent	2026-06-08	2026-09-21	5	10	0	5	0	0	0	15	ok	
fire-blower	2026-08-04	2026-09-21	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#2,#4,#5)
fire-extinguish-pot	2026-08-04	2026-08-04	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#2)
fire-tongs	2026-06-08	2026-06-08	5	10	0	4	0	0	0	14	ok	Amazon未設定カード 1/5 (#3)
fireproof-chair	2026-08-31	2026-08-31	5	5	0	5	0	0	0	10	ok	
fireproof-gloves	2026-07-27	2026-07-27	5	5	0	1	0	0	0	6	ok	Amazon未設定カード 4/5 (#1,#2,#3,#5) ｜2026-09-21 backfill(campkit-20260921-18): #2 no-amazon(ZEN Camps 耐熱グローブ・楽天SKU3件=M/L/XL 各¥3,280、attributes メーカー型番=camping-glove（実型番ではない）。Amazon検索「ZEN Camps 耐熱グローブ 本革 焚き火」「ZEN Camps グローブ」「ZEN Camps 手袋」「ZEN Camps 焚き火グローブ 革手袋」「ZEN Camps」→ ZEN Camps出品は焚き火シート/アッシュキャリー/アイスジャグ等のみでグローブ無し。QeeLink/キャプテンスタッグ/ハイランダー等の他社品のみ)
folding-cutting-board	2026-08-14	2026-08-14	5	5	0	4	0	0	0	9	ok	Amazon未設定カード 1/5 (#4)
forged-peg	2026-06-02	2026-09-21	5	10	0	3	0	0	0	13	ok	Amazon未設定カード 2/5 (#4,#5) ｜2026-09-21 backfill(campkit-20260921-14): #2=B08H1Q3M86(IWANO 鍛造ペグ 30cm/8本 ¥3,990・楽天SKU pegu30cm-8p 型番AWRFP8 ¥3,990と同額・同仕様。※カード価格990は楽天の1本SKU(AWRFP1P)の価格で name「8本」と不整合→別タスク)。#4 REIDEN は no-amazon: 楽天SKU属性 ブランド=Reiden/型番lbw-11001(レーベンウッド自社ブランド)、Amazon検索「REIDEN 鍛造ペグ」はHUNDRUP/MOON LENCE等の別OEMのみ。#5 ペグ+ハンマーセット は no-amazon: 楽天SKU属性 ブランド=nda-style/型番288965(店舗独自)の無名OEMでAmazonに同ブランド出品なし
