slug	rank	id	frozen	http	card_name	rakuten_item_name	maker_model	brand	axis_count	axis_first	card_price	current_price	stock	flags	checked_at	judged_task	sku_selected
air-frame-tent	5	coleman-tuffscreen-air	0	200	Coleman(コールマン) タフスクリーン2ルームエアー DARKROOM LDX+	コールマン(Coleman) テント タフスクリーン2ルームエアー DARKROOM サイズ LDX+/MDX+	-	-	style:2	style:MDX+	87800	94100	qty=5	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	B/LDX+
alcohol-stove	1	al-titanmania	0	200	チタンマニア アルコールストーブ チタン製	TITAN MANIA(チタンマニア) アルコールストーブ チタン製 軽量 頑丈 シングルコンロ アルコールバーナー コンパクト ポータブル キャンプ ソロキャンプ アウトドア キャンプ用品 収納袋付き	-	TITAN MANIA			2480	2480	qty=159	OK	2026-09-21T21:46:28Z	campkit-20260921-35	titan1837
alcohol-stove	2	al-gaobabu	0	200	ガオバブ Gaobabu アルコールバーナー	アルコールバーナー ガオバブ(Gaobabu)Gaobabuアルコールバーナー(収納袋付き) アルコールストーブ アルスト トランギア trangia 調理用 クッキング コンパクト 超軽量 アウトドア ソロキャンプ キャンプ 登山 トレッキング 釣り ツーリング 非常用 防災 燃料目盛り付き	705738	ガオバブ / Gaobabu / トランギア			2660	2660	qty=25	OK	2026-09-21T21:46:28Z	campkit-20260921-35	10010286
alcohol-stove	3	al-gotoku-set	0	200	アルコールストーブ 五徳セット シルバーゴールド（収納袋付き）	アルコールストーブ 五徳セット 【全2色】収納袋 説明書付き 登山 調理 キャンプ ツーリング 野外 携帯 ソロストーブ	-	ノーブランド	項目:1|カラーの種類:2	項目:カラー|カラーの種類:シルバーゴールド	1880	1880	qty=9	OK	2026-09-21T21:46:28Z	campkit-20260921-35	3895/カラー/シルバーゴールド
alcohol-stove	4	al-bottle-set	0	200	アルコールストーブ バーナー（燃料ボトル付き）	＼ お買い物マラソン 限定 クーポン／ アルコールストーブ バーナー ボトル アルコール オイル ランタン 燃料容器 燃料ボトル 携行缶 146ml 5oz ステンレス 燃料入れ 小分け容器 パラフィンオイル オイルボトル フューエルボトルステンレス 容器 スキットル ミニスキットル	無し	無し			1390	1390	qty=10	OK	2026-09-21T21:46:28Z	campkit-20260921-35	normal-inventory
alcohol-stove	5	al-alocs	0	200	ALOCS アロクス アルコールバーナー（ゴトク付き）	【P2倍】 ALOCS アロクス アルコールバーナー アルコールストーブ バーナー ゴトク付 アルスト CS-B02	CS-B02	アロクス			2020	2020	qty=7	OK	2026-09-21T21:46:28Z	campkit-20260921-35	alocs-cs-b02
anker-power	1	anker-c1000	0	200	Anker Solix C1000 Gen 2 ポータブル電源 1024Wh 定格1550W 世界最小クラス 急速充電54分 リン酸鉄 長寿命10年 アプリ遠隔操作	【59,910円OFFクーポン 9/25まで】Anker Solix C1000 Gen 2 Portable Power Station ダークグレー 1024Wh ポータブル電源 世界最小クラス 世界最速の急速充電54分 リン酸鉄 長寿命10年 定格1550W バッテリー 大容量 アプリ遠隔操作 キャンプ 防災	A1763	ANKER	カラー:1	カラー:ダークグレー	129900	129900	qty=1585	OK	2026-09-21T21:46:28Z	campkit-20260921-35	A17635Z1/ダークグレー
anker-power	2	anker-c800	0	200	Anker Solix C800 ポータブル電源 768Wh 定格1200W 世界最速充電58分 リン酸鉄 長寿命10年 パススルー アプリ遠隔操作	Anker Solix C800 ポータブル電源 768Wh 世界最速充電58分 定格1200W 長寿命10年 リン酸鉄 収納スペース搭載 パススルー アプリ遠隔操作 蓄電池 ポータブルバッテリー キャンプ アウトドア 家庭用 防災 節電 アンカー	A1753	ANKER	カラー:1	カラー:ダークグレー	104900	104900	soldout	OK	2026-09-21T21:46:28Z	campkit-20260921-35	A17535Z1/ダークグレー
anker-power	3	anker-f1200	0	200	Anker Solix F1200 ポータブル電源 1229Wh 定格1500W 1.5H満充電 リン酸鉄 長寿命10年 純正弦波 アプリ遠隔操作	Anker Solix F1200 ポータブル電源1229Wh 蓄電池 ポータブルバッテリー 1.5H満充電 高出力AC(定格1500W) 長寿命10年 急速充電 アプリ リン酸鉄 純正弦波 安全 キャンプ アウトドア 車中泊 非常用電源 アンカー	A1770	ANKER	カラー:1	カラー:Black	169900	169900	soldout	OK	2026-09-21T21:46:28Z	campkit-20260921-35	A1770513/Black
anker-power	4	anker-c1000-solar	0	200	Anker Solix C1000 Gen 2 ＋ PS100 ソーラーパネル セット 1024Wh 世界最小クラス 急速充電54分 大容量 長寿命10年	【69,910円OFFクーポン 9/25まで】Anker Solix C1000 Gen 2 Portable Power Station ダークグレー with Anker Solix PS100 Dual Portable Solar Panel 世界 最小 クラスポータブル電源1024Wh 最速 急速充電54分 大容量 高出力 長寿命10年 キャンプ	B1763	ANKER	カラー:1	カラー:ダークグレー	159900	159900	qty=209	OK	2026-09-21T21:46:28Z	campkit-20260921-35	B17635Z5/ダークグレー
anker-power	5	anker-c1000-ps100	0	200	Anker Solix C1000 ＋ PS100 Compact ソーラーパネル 100W セット 1056Wh AC充電58分 折りたたみ式 パススルー 長寿命	Anker Solix C1000 ポータブル電源 1056Wh & Anker Solix PS100 Compact ソーラーパネル 100W セット 折りたたみ式 AC充電58分 長寿命 コンパクト パススルー	B1761	ANKER	カラー:1	カラー:ダークグレー	146900	146900	soldout	OK	2026-09-21T21:46:28Z	campkit-20260921-35	B17615Z7/ダークグレー
attack-pack	2	tnf-singleshot-20l	0	200	ザ・ノース・フェイス シングルショット 20L ブラック NM72303 K ユニセックス	9/20限定★抽選で最大100％Pバック ザ・ノース・フェイス シングルショット 20L ブラック NM72303 K バックパック リュック THE NORTH FACE ノースフェイス	NM72303	THE NORTH FACE	カラー:1|サイズ:2	カラー:カラーなし|サイズ:FREE	13800	13800	qty=154	OK	2026-09-21T21:46:28Z	campkit-20260921-35	72001626730000000/カラーなし/選択してください
attack-pack	3	osprey-daylite-plus	0	200	オスプレー デイライトプラス OSPREY DAYLITE PLUS OS57176 20L ブラック	オスプレー デイライトプラス OSPREY オスプレイ DAYLITE PLUS メンズ レディース ユニセックス OS57176 リュック バックパック リュックサック 鞄 バッグ ザック テクニカル 登山 トラベル 旅行 おしゃれ キャンプ アウトドア	OS57176	OSPREY	カラー:7	カラー:ブラック	12760	12760	qty=21	OK	2026-09-21T21:46:28Z	campkit-20260921-35	587890/ブラック
attack-pack	4	gregory-daypack-26l	0	200	グレゴリー デイパック DAY PACK 26L ブラック 12601 ユニセックス	＼連休中も休まず配送／ グレゴリー GREGORY デイパック DAY PACK 26L リュックサック バックパック 12601 1041 メンズ レディース A4 ブラック 通勤 通学 ファッション リュック デイ ライフ リュック 男子 バレンタイン	651691041	グレゴリー	―:1|カラー:2	―:カラー|カラー:ブラック	15299	15299	qty=176	OK	2026-09-21T21:46:28Z	campkit-20260921-35	GRE-9425-000/カラー/ブラック
backpack-large	1	tousen-40-60l	0	200	tousen 登山リュック 40L ラークブルー 大容量 バックパック 防水 軽量 多機能 キャンプ用リュック	即納 楽天1位 tousen正規品 登山バッグ 登山 リュック 40～60L 大容量 バックパック リュックサッ 登山用 リュック 登山 リュック レディース/メンズ ?山ガールク 防水 軽量 山登り バック 多機能 キャンプ用リュック	-	旅行バッグ	シリーズ:1|サイズ:3|カラー:5	シリーズ:8022|サイズ:40Ｌ|カラー:レッド	3852	4280	qty=35	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	r-sku00000074/8022/40Ｌ/ラークブルー
backpack-large	2	tousen-65l	0	200	tousen 登山リュック 65L グリーン 大容量 防災リュック バックパック 防水 軽量 多機能	即納｢動画あり｣ 【地震 緊急避難必要品】リュック 大容量 登山用 バッグ 登山 リュック レディース/メンズ 色登山 リュック 65L 防災リュック 大容量 登山バッグ バックパック リュックサック 防水 軽量 山登り バック 多機能	818	TOUSEN	カラー:5	カラー:レッド	3680	3680	qty=67	OK	2026-09-21T21:46:28Z	campkit-20260921-35	3916/グリーン
backpack-large	3	hawkgear-80l	0	200	HAWK GEAR (ホークギア) 防水バックパック 大容量80L ブラック レインカバー付き 軽量 登山 防災	【HAWK GEAR (ホークギア)】防水バックパック 大容量80L レインカバー付き キャンプ レジャー アウトドア 防災 災害 登山 旅行 ザック 軽量 防災リュック 災害用バック	backpack01	HAWKGEAR	カラー:12	カラー:ブラック	6990	6990	soldout(others:2)	OK	2026-09-21T21:46:28Z	campkit-20260921-35	7/ブラック
backpack-large	4	kuriaafew-65l	0	200	TOUSEN 登山リュック 65L グリーンブラック 大容量 防水 軽量 多機能 トレッキング キャンプ用リュック 防災バッグ	[即納 ] 登山 リュック 65L 大容量 登山バッグ 防災リュック パック 防災バッグ リュックサック 防水 軽量 山登り トレッキング バック 多機能 キャンプ用リュック 防災バッグ キャンプ ハイキング アウトドア 当店オススメ	なし	TOUSEN	レビューお願い致します:1|カラー:5	レビューお願い致します:レビューお願い致します|カラー:グリーンブラック	3980	3980	qty=44	OK	2026-09-21T21:46:28Z	campkit-20260921-35	112/レビューお願い致します/グリーンブラック
backpack-large	5	mstyle-90l-3way	0	200	M-STYLE ミリタリーバッグ 大容量90L 3WAY ブラック リュック/ショルダー/ボストン 防水生地	【エントリーでP10倍＆最大100%還元】 ミリタリーバッグ 大容量 90L アウトドア 防災 バッグ 3WAY リュック ショルダー ボストン バックパック 災害 キャンプ 防水生地 M-STYLE	04-10-03-01Black	M-STYLE	カラー:4	カラー:ブラック	8082	8980	soldout(others:3)	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	19875/ブラック
backpack-rain-cover	1	lama-raincover-2set	0	200	LAMA Store リュックカバー 2枚セット 耐水圧3500mm	【2枚セット】楽天第1位15冠 リュックカバー 防水【耐水圧3500mm】レインカバー おしゃれ 登山リュックカバーランドセル 前カゴカバー ザックカバー 雨よけ レインカバー 自転車 バックパック レインカバー 豪雨梅雨 アウトドア 軽量 地震学校	Sサイズ	LAMA	対応機種:7|カラー:3	対応機種:ブラック 2枚セット|カラー:Sサイズ	1380	1280	soldout	color_unspecified,price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	1361/ブラック 2枚セット/Sサイズ
backpack-rain-cover	2	hachihachi-raincover-l	0	200	八八爽快 ザックカバー Lサイズ（40L対応）ブラック 収納袋付き	【楽天1位】【収納袋付き】ザックカバー 防水 リュックカバー レインカバー 十字ベルト ランドセルカバー バックパックカバー S M Lサイズ 撥水 反射材 通勤 通学 登山 自転車 雨よけ 雨具 梅雨対策 防災 アウトドア 軽量 20L 30L 35L 40L 55L 送料無料	-	-	型番:3|カラー:7	型番:Sサイズ|カラー:ブラック	1080	1180	qty=34	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	1008780301/Lサイズ/ブラック
backpack-rain-cover	3	reverb-raincover-big	0	200	リバーブセレクト ザックカバー ビッグサイズ L（60L）ブラック（1年保証）	＼楽天1位165冠達成／【大きいサイズ】【1年保証付き】ザックカバー ビッグサイズ レインカバー リュックカバー ランドセルカバー 防水 撥水 通勤 通学 登山 反射材 自転車 雨よけ 計量 防災 バックパックカバー	outdoor-7	トラベルデパート	サイズ:3|カラー:6	サイズ:L（60L）|カラー:ブラック	1580	1580	soldout(others:10)	OK	2026-09-21T21:46:28Z	campkit-20260921-35	4326/L（60L）/ブラック
backpack-rain-cover	4	daichu-raincover-allrange	0	200	雑貨ストアDAICHU リュックカバー XSサイズ（15〜25L）ブラック	15L～100L対応！ リュック カバー レインカバー 大きい 防水 ザックカバー カバー 十字 バンド ベルト クロスバックル 雨 カッパ バッグ 反射板 収納袋付 通勤 通学 ランドセル 鞄 登山 ゲリラ豪雨 雪 台風 旅行 トラベル フェス	-	-	サイズ:7|カラー:7	サイズ:XS(15-25L)|カラー:ブラック	1000	1000	soldout(others:44)	OK	2026-09-21T21:46:28Z	campkit-20260921-35	638/XS(15-25L)/ブラック
backpack-rain-cover	5	mthappy-raincover-compact	0	200	Mt.happy 無地カバー Sサイズ（20〜30L対応）ブルー	無地カバー 全6色 S 20-30L 軽量 コンパクト 防水 雨よけ リュックカバー アウトドア スポーツ 登山 自転車 アルパイン Mt.happy/マウントハッピー	-	マウントハッピー	カラー:6	カラー:ブルー	690	690	qty=17	OK	2026-09-21T21:46:28Z	campkit-20260921-35	2160/ブルー
barebones-light	1	barebones-edison-stick	0	200	ベアボーンズ エジソン ライトスティック 充電式 LED LIV-145	＼連休中も休まず配送／ ベアボーンズ Barebones エジソン ライトスティック LEDライト 小型 軽量 充電式 キャンプ アウトドア ランタン ミニランタン 防災 コンパクト おしゃれ Barebones Living EDISON LIGHT STICK ブラス LIV-145 父の日	LIV-145	Barebones / エジソン			6999	6999	qty=35	OK	2026-09-21T21:46:28Z	campkit-20260921-35	BRS-00016-00
barebones-light	2	barebones-railroad	0	200	ベアボーンズ レイルロードランタン 充電式 LED	【SALE】正規取扱店 ランタン led 充電式 おしゃれ アンティーク ランプ ベアボーンズ レイルロード ランタン BAREBONES Railroad Lantern LED アウトドア キャンプ テント 間接照明 長時間 USB 吊るせる◇グランピング 寝室 ギフト 送料無料	20230010062000	BAREBONES	選択:2|選択:3	選択:当日出荷|選択:スレートグレー	7788	7788	qty=16	OK	2026-09-21T21:46:28Z	campkit-20260921-35	1408645/当日出荷/スレートグレー
barebones-light	3	barebones-beacon	0	200	ベアボーンズ ビーコンライト LED 2.0 20230005	ベアボーンズ ビーコンライト LED 2.0 20230005 ランタン ライト 吊り下げ キャンプ アウトドア 国内正規品 アンティーク おしゃれ LED 充電式 nocu	20230005	ベアボーンズ	カラー:5	カラー:レッド	8800	8800	soldout	color_unspecified	2026-09-21T21:46:28Z	campkit-20260921-35	BLG0-20230005-000-004/レッド
barebones-light	4	barebones-mini-edison	0	200	ベアボーンズ ミニ エジソン ランタン LED	＼～44%OFF／ ランタン led おしゃれ アンティーク ベアボーンズ ミニ エジソン ランタン BAREBONES Mini Edison Lantern LED アウトドア キャンプ テント グランピング 電池 単三電池 USB 吊るせる フック◇アメリカ 間接照明 寝室 送料無料	20230009007000	-	選択:2|選択:7	選択:当日出荷|選択:アンティークブロンズ	3300	4565	soldout(others:2)	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	1413529/当日出荷/アンティークブロンズ
bluetti-power	1	bluetti-ac70	1	200	BLUETTI ポータブル電源 AC70 768Wh 1000W リン酸鉄 長寿命 UPS機能 アプリ遠隔操作 サージ2000W	BLUETTI ポータブル電源 AORA 100 mini 1004.8Wh 700W リン酸鉄リチウム コンパクト 軽い 操作簡単 安全 停電対策 自動切替モード搭載 長寿命 省エネ 家庭用 多機能 高齢者向け	AORA 100 mini	BLUETTI	カラー:2	カラー:ミントグリーン	88000	96800	qty=100	model_mismatch,price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	bluettijapan_aora100mini-eg/ミントグリーン
bluetti-power	2	bluetti-ac180	1	200	BLUETTI ポータブル電源 AC180 1152Wh 1800W 60分満充電 リン酸鉄 UPS APP遠隔操作 サージ2700W	【在庫一掃 クーポン利用で59,292円】BLUETTI ポータブル電源 AC180 1152Wh 1800W/AC180 セット 60分満充電 大容量 家庭用 蓄電池 5年保証 リン酸鉄 長寿命 バックアップ電源（サージ2700W） 自動切替 APP 遠隔操作 防災グッズ 停電 台風 非常用電源 車中泊	AC180	BLUETTI	タイプ:1	タイプ:AC180	109800	109800	qty=76	OK	2026-09-21T21:46:28Z	campkit-20260921-35	bluettijapan_ac180/AC180
bluetti-power	3	bluetti-aora100	1	200	BLUETTI ポータブル電源 AORA 100 V2 1024Wh 定格1800W 2700Wリフト機能 0.01秒UPS リン酸鉄 10年長寿命 アプリ遠隔操作	【クーポン利用で69,900円 9/25迄】BLUETTI ポータブル電源 AORA 100 V2 コンパクト 1024Wh リン酸鉄リチウム 10年長寿命 定格出力1800W 2700Wリフト機能 0.01秒自動切替 アウトドア 急速充電 アプリ操作 防災グッズ 停電 台風 キャンプ 車中泊 非常用電源	AORA 100 V2	BLUETTI	カラー:3	カラー:ミントグリーン	139800	139800	qty=52	OK	2026-09-21T21:46:28Z	campkit-20260921-35	bluettijapan_aora100v2_eg/ミントグリーン
bluetti-power	4	bluetti-aora30	1	200	BLUETTI ポータブル電源 AORA 30 V2 288Wh 定格600W 1500Wリフト機能 0.01秒UPS リン酸鉄 10年長寿命 急速充電	【クーポン利用で27,860円 9/25迄】BLUETTI ポータブル電源 AORA 30 V2 小型 288Wh リン酸鉄リチウム 10年長寿命 定格出力600W 1500Wリフト機能 0.01秒自動切替 急速充電 アプリ操作 アウトドア 防火設計 防災 停電 台風 キャンプ 車中泊 非常用電源	AORA 30 V2	BLUETTI	カラー:4	カラー:ミントグリーン	39800	39800	qty=26	OK	2026-09-21T21:46:28Z	campkit-20260921-35	bluettijapan_aora30v2_eg/ミントグリーン
bluetti-power	5	bluetti-eb3a	1	200	BLUETTI ポータブル電源 EB3A 268Wh ＋ 130Wソーラーパネル セット 600W出力 リン酸鉄 2500回サイクル UPS 高速充電	【在庫一掃 クーポン利用で23,030円】BLUETTI ポータブル電源 268Wh EB3A セット130Wソーラーパネル 600W出力 家庭用 軽量 小型 蓄電池 高速充電 ソーラーパネル セット ポータブルバッテリー リン酸鉄 長寿命 2500回サイクル 停電 アウトドア キャンプ 車中泊 非常用	EB3A	BLUETTI	ポータブル電源のカラー:1|ソーラーパネル:3	ポータブル電源のカラー:EB3A 268Wh スチールグレー|ソーラーパネル:なし	32900	32900	qty=64	spec_mismatch,set_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	bluettijapan_eb3a/EB3A 268Wh スチールグレー/なし
bonfire-sheet	1	zen-camps-sheet	1	200	ZEN Camps 焚き火シート スパッタシート 95cm×60cm 防炎 耐火 耐熱 ブラック	ZEN Camps 焚き火シート 焚き火台シート スパッタシート たき火シート 95cm×60cm 防炎 耐火 耐熱 キャンプ BBQ 耐火シート 耐熱シート 焚火シート コンパクト 焚き火 シート (ブラック）	black-sheet	ZEN Camps	スタイル:2	スタイル:単品	3582	3980	qty=67	price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	black-sheet/単品
bonfire-sheet	2	sanroku-sheet	1	200	山麓工房 焚き火シート 耐熱5層構造 瞬間耐熱1500℃ 撥水加工 スパッタシート チクチクしない	高評価★4.78【累計10万枚突破】 【極厚仕様】山麓工房®公式 焚き火シート 耐熱5層構造 (瞬間耐熱1500℃) チクチクしない 焚火シート スパッタシート 焚き火台シート 撥水加工 無期限保証 【ご使用後も返品可能】耐熱試験済	4580734470202	山麓工房	カラー:5	カラー:ブラック 95×60cm	2980	3580	soldout	color_unspecified,price_mismatch	2026-09-21T21:46:28Z	campkit-20260921-35	black/ブラック 95×60cm
bonfire-sheet	3	chillcamping-sheet	1	200	ChillCamping 焚き火シート Lサイズ スパッタシート 耐熱 耐火 ブラック	片付けが劇的に楽な焚き火シート ChillCamping チルキャンピング 焚き火シート（Lサイズ）スパッタシート 焚き火台 キャンプ 耐熱 耐火 薪ストーブ アウトドア ブラック 黒 バーベキューコンロ 焚き火用 【30日間保証】	027A	Chill Camping	サイズ:2	サイズ:タイプA（ロゴ中央）	3980	3980	qty=16	OK	2026-09-21T21:46:28Z	campkit-20260921-35	64/タイプA（ロゴ中央）
bonfire-sheet	4	hatome-sheet	1	200	焚き火シート スパッタシート ガラス繊維 ハトメ付き 不燃 L/M/Sサイズ	★楽天1位★ 焚き火シート 焚火シート 焚き火台シート 耐熱 大きい 陣幕 キャンプ用品 スパッタシート 七輪 バーベキュー マット L M S サイズ アウトドア 耐火シート BBQ ハトメ ガラス繊維 不燃 燃えない チクチクしない	0001	ひつみ雑貨店	サイズ:3	サイズ:S（30×30cm）	840	840	qty=9	size_unspecified	2026-09-21T21:46:28Z	campkit-20260921-35	606/S（30×30cm）
bonfire-sheet	5	futurefox-sheet	1	200	FUTURE FOX 焚き火台シート ナバホ柄 ガラス繊維 連続使用耐熱温度250℃	FUTURE FOX 焚き火台シート 焚き火シート 焚き火 シート ナバホ柄 ガラス繊維 連続使用耐熱温度250℃ 【南信州発アウトドアブランド】	navajo-sheet-khaki	FUTURE FOX	カラー:2	カラー:カーキ	3580	3580	qty=99840	color_unspecified	2026-09-21T21:46:28Z	campkit-20260921-35	normal-inventory/カーキ
